time,level,conductivity,derivate_1_cond,derivate_2_cond
2021-09-07 00:00:00,118.86935,5917.271500000001,,
2021-09-07 00:02:00,121.375875,5895.589,-21.6825000000008,
2021-09-07 00:04:00,135.807275,5880.502,-15.086999999999534,6.595500000001266
2021-09-07 00:06:00,156.011275,,,
2021-09-07 00:08:00,174.8481,5897.106,,
2021-09-07 00:10:00,188.519975,5933.916,36.8100000000004,
2021-09-07 00:12:00,208.04035,5974.737999999999,40.82199999999921,4.011999999998807
2021-09-07 00:14:00,227.0291,6019.0114,44.27340000000095,3.4514000000017404
2021-09-07 00:16:00,244.878475,6047.987999999999,28.976599999999053,-15.296800000001895
2021-09-07 00:18:00,263.1836,6076.875,28.887000000000626,-0.08959999999842694
2021-09-07 00:20:00,281.488725,6097.604,20.72900000000027,-8.158000000000357
2021-09-07 00:22:00,293.56555,6113.127,15.523000000000138,-5.206000000000131
2021-09-07 00:24:00,300.09765,6128.596,15.468999999999141,-0.054000000000996806
2021-09-07 00:26:00,304.9334666666667,6144.011,15.415000000000873,-0.05399999999826832
2021-09-07 00:28:00,309.136275,6167.125,23.113999999999578,7.698999999998705
2021-09-07 00:30:00,312.93405,6156.904,-10.220999999999549,-33.33499999999913
2021-09-07 00:32:00,315.2633333333333,,,
2021-09-07 00:34:00,318.25085,6199.054,,
2021-09-07 00:36:00,320.83335,,,
2021-09-07 00:38:00,322.58027500000003,,,
2021-09-07 00:40:00,325.23875,6239.184,,
2021-09-07 00:42:00,327.2135666666666,,,
2021-09-07 00:44:00,328.2769,6246.797,,
2021-09-07 00:46:00,329.64415,,,
2021-09-07 00:48:00,330.859375,6254.392,,
2021-09-07 00:50:00,333.9988333333333,,,
2021-09-07 00:52:00,334.809,6273.35,,
2021-09-07 00:54:00,336.7332,6288.554,15.203999999999724,
2021-09-07 00:56:00,338.75865,,,
2021-09-07 00:58:00,339.82205,6319.654,,
2021-09-07 01:00:00,341.9488,,,
2021-09-07 01:02:00,343.4679,,,
2021-09-07 01:04:00,344.2274,,,
2021-09-07 01:06:00,345.4427,6369.958,,
2021-09-07 01:08:00,346.658,6386.345,16.387000000000626,
2021-09-07 01:10:00,347.56945,,,
2021-09-07 01:12:00,350.0,6401.362,,
2021-09-07 01:14:00,352.43056666666666,6401.227,-0.13500000000021828,
2021-09-07 01:16:00,355.1649,,,
2021-09-07 01:18:00,358.355025,6432.426,,
2021-09-07 01:20:00,361.3426,6449.032,16.605999999999767,
2021-09-07 01:22:00,363.97566666666665,,,
2021-09-07 01:24:00,366.4062666666667,6479.46,,
2021-09-07 01:26:00,369.44445,6496.274,16.814000000000306,
2021-09-07 01:28:00,359.570325,6686.099384615385,189.8253846153848,173.0113846153845
2021-09-07 01:30:00,347.113725,6989.317285714285,303.21790109890026,113.39251648351546
2021-09-07 01:32:00,336.404075,7024.6845,35.36721428571491,-267.85068681318535
2021-09-07 01:34:00,324.403225,6965.0935,-59.59100000000035,-94.95821428571526
2021-09-07 01:36:00,308.224825,,,
2021-09-07 01:38:00,266.981325,,,
2021-09-07 01:40:00,192.46965,6942.8240000000005,,
2021-09-07 01:42:00,123.3507,6951.69625,8.87224999999944,
2021-09-07 01:44:00,116.1603,6925.719,-25.977249999999913,-34.84949999999935
2021-09-07 01:46:00,130.338525,6830.537333333334,-95.18166666666639,-69.20441666666648
2021-09-07 01:48:00,146.13715,6854.791,24.253666666666504,119.43533333333289
2021-09-07 01:50:00,166.9488,6895.342333333334,40.55133333333379,16.297666666667283
2021-09-07 01:52:00,181.9119,6947.037,51.69466666666631,11.14333333333252
2021-09-07 01:54:00,199.9132,7109.184200000001,162.14720000000034,110.45253333333403
2021-09-07 01:56:00,217.990475,7406.045272727273,296.8610727272726,134.71387272727225
2021-09-07 01:58:00,231.434475,7657.329833333333,251.28456060606004,-45.576512121212545
2021-09-07 02:00:00,246.1697,7787.626833333333,130.29699999999957,-120.98756060606047
2021-09-07 02:02:00,259.917525,7908.499,120.872166666667,-9.424833333332572
2021-09-07 02:04:00,273.817275,7981.97075,73.47175000000061,-47.40041666666639
2021-09-07 02:06:00,284.982625,8045.627666666667,63.6569166666668,-9.814833333333809
2021-09-07 02:08:00,292.122425,8086.058999999999,40.43133333333208,-23.225583333334725
2021-09-07 02:10:00,297.439225,8125.549,39.49000000000069,-0.9413333333313858
2021-09-07 02:12:00,301.18636666666663,8166.0945,40.545500000000175,1.0554999999994834
2021-09-07 02:14:00,304.579,8207.946,41.85149999999976,1.3059999999995853
2021-09-07 02:16:00,307.8703666666667,8273.353666666668,65.40766666666786,23.556166666668105
2021-09-07 02:18:00,311.1111,8321.753,48.399333333332834,-17.00833333333503
2021-09-07 02:20:00,314.04806666666667,8397.91,76.15699999999924,27.75766666666641
2021-09-07 02:22:00,316.7824,8468.709666666668,70.79966666666769,-5.357333333331553
2021-09-07 02:24:00,319.61806666666666,8524.098,55.38833333333241,-15.411333333335278
2021-09-07 02:26:00,322.2511666666667,8581.201666666666,57.10366666666596,1.7153333333335468
2021-09-07 02:28:00,324.47915,8655.06525,73.86358333333374,16.759916666667777
2021-09-07 02:30:00,326.7072,8714.001333333334,58.936083333333954,-14.927499999999782
2021-09-07 02:32:00,328.5301,8755.908500000001,41.90716666666776,-17.02891666666619
2021-09-07 02:34:00,329.1377333333333,8830.189999999999,74.28149999999732,32.37433333332956
2021-09-07 02:36:00,330.7581,8859.976,29.786000000001877,-44.495499999995445
2021-09-07 02:38:00,331.9227,8937.045,77.0689999999995,47.28299999999763
