timestamp,value
1643793036.0,3327.48
1643793053.0,3330.753
1643793069.0,3317.166
1643793098.0,3307.536
1643793160.0,3276.11
1643793260.0,3243.955
1643793298.0,3226.946
1643793328.0,3221.231
1643793348.0,3219.116
1643793434.0,3203.852
1643793506.0,3188.338
1643793570.0,3182.325
1643793675.0,3180.118
1643793703.0,3178.968
1643793717.0,3175.403
1643793729.0,3175.942
1643793738.0,3179.631
1643793752.0,3179.529
1643793838.0,3179.674
1643793852.0,3178.802
1643793876.0,3179.829
1643793888.0,3175.658
1643793907.0,3179.848
1643793918.0,3183.184
1643793927.0,3182.4
1643793945.0,3181.99
1643793966.0,3179.217
1643793974.0,3177.183
1643793981.0,3176.758
1643794021.0,3185.522
1643794053.0,3194.337
1643794057.0,3195.249
1643794071.0,3191.45
1643794075.0,3191.37
1643794092.0,3191.612
1643794096.0,3187.542
1643794100.0,3185.642
1643794107.0,3185.115
1643794115.0,3179.371
1643794128.0,3173.783
1643794132.0,3170.378
1643794164.0,3157.454
1643794172.0,3154.027
1643794176.0,3148.808
1643794180.0,3145.418
1643794200.0,3138.821
1643794207.0,3140.954
1643794223.0,3123.865
1643794231.0,3120.912
1643794236.0,3117.433
1643794248.0,3115.065
1643794256.0,3108.744
1643794263.0,3104.199
1643794280.0,3102.209
1643794292.0,3098.357
1643794308.0,3104.173
1643794316.0,3093.029
1643794327.0,3076.36
1643794331.0,3058.808
1643794340.0,3048.067
1643794348.0,3014.051
1643794352.0,3041.841
1643794361.0,3032.849
1643794365.0,3037.106
1643794371.0,3058.039
1643794388.0,2998.201
1643794392.0,3044.055
1643794402.0,3052.466
1643794404.0,3027.566
1643794420.0,3019.203
1643794424.0,3033.98
1643794442.0,2996.028
1643794450.0,3050.008
1643794458.0,3042.736
1643794461.0,3028.189
1643794479.0,3022.429
1643794486.0,3031.591
1643794490.0,3016.361
1643794498.0,2994.753
1643794502.0,3014.146
1643794518.0,3058.875
1643794522.0,3041.42
1643794526.0,3046.322
1643794530.0,3021.899
1643794534.0,3012.658
1643794538.0,3021.972
1643794542.0,3048.834
1643794555.0,2992.207
1643794562.0,3002.765
1643794574.0,3027.152
1643794578.0,3019.097
1643794582.0,2997.085
1643794598.0,3003.177
1643794606.0,2997.813
1643794610.0,3004.033
1643794627.0,3003.102
1643794634.0,2954.345
1643794642.0,3026.899
1643794659.0,2983.242
1643794670.0,2968.96
1643794691.0,3009.489
1643794702.0,2980.739
1643794706.0,2951.702
1643794710.0,2972.298
1643794730.0,2960.304
1643794738.0,2943.245
1643794742.0,2982.409
1643794763.0,2984.783
1643794766.0,2970.454
1643794774.0,2944.265
1643794778.0,2934.92
1643794802.0,2940.589
1643794814.0,2931.845
1643794818.0,2925.742
1643794831.0,2915.754
1643794834.0,2936.796
1643794842.0,2918.655
1643794866.0,2916.439
1643794888.0,2889.034
1643794892.0,2919.922
1643794920.0,2886.321
1643794940.0,2901.989
1643794956.0,2878.146
1643794964.0,2895.418
1643794985.0,2859.651
1643794992.0,2889.254
1643794996.0,2867.787
1643795017.0,2844.28
1643795020.0,2885.129
1643795028.0,2874.64
1643795036.0,2850.419
1643795040.0,2875.79
1643795052.0,2846.382
1643795068.0,2825.984
1643795076.0,2785.471
1643795089.0,2844.47
1643795096.0,2819.587
1643795121.0,2819.416
1643795136.0,2796.816
1643795140.0,2817.077
1643795144.0,2834.852
1643795148.0,2816.547
1643795157.0,2779.231
1643795164.0,2804.5
1643795172.0,2785.963
1643795212.0,2767.198
1643795244.0,2777.497
1643795256.0,2775.325
1643795264.0,2786.216
1643795285.0,2731.763
1643795288.0,2761.16
1643795292.0,2738.999
1643795324.0,2754.801
1643795328.0,2730.642
1643795340.0,2696.471
1643795353.0,2752.438
1643795360.0,2735.52
1643795379.0,2741.304
1643795388.0,2732.927
1643795396.0,2695.136
1643795400.0,2718.839
1643795404.0,2744.721
1643795424.0,2723.409
1643795433.0,2717.188
1643795436.0,2689.587
1643795452.0,2724.251
1643795460.0,2702.708
1643795468.0,2721.351
1643795475.0,2702.3
1643795496.0,2667.374
1643795507.0,2698.472
1643795524.0,2652.765
1643795528.0,2671.207
1643795536.0,2699.496
1643795556.0,2711.663
1643795564.0,2710.805
1643795678.0,2704.971
1643795732.0,2719.023
1643795752.0,2719.432
1643795816.0,2735.981
1643795861.0,2745.582
1643795884.0,2748.407
1643795998.0,2769.673
1643796000.0,2771.257
1643796014.0,2770.697
1643796023.0,2774.062
1643796085.0,2783.452
1643796139.0,2791.464
1643796208.0,2794.613
1643796246.0,2801.717
1643796341.0,2806.7
1643796512.0,2801.268
1643796527.0,2803.612
1643796624.0,2802.186
1643796732.0,2803.91
1643796743.0,2802.484
1643796792.0,2804.355
1643796803.0,2807.565
1643796884.0,2807.179
1643796900.0,2811.636
1643796986.0,2810.783
1643797098.0,2806.864
1643797116.0,2810.439
1643797128.0,2806.81
1643797133.0,2806.837
1643797164.0,2801.508
1643797200.0,2786.071
1643797311.0,2741.805
1643797334.0,2726.445
1643797366.0,2708.812
1643797376.0,2704.292
1643797393.0,2693.02
1643797418.0,2687.693
1643797438.0,2670.868
1643797462.0,2655.672
1643797490.0,2644.288
1643797542.0,2628.418
1643797558.0,2625.564
1643797591.0,2620.428
1643797659.0,2613.245
1643797680.0,2613.541
1643797695.0,2608.414
1643797702.0,2607.704
1643797710.0,2607.512
1643797714.0,2608.083
1643797718.0,2606.603
1643797750.0,2607.237
1643797771.0,2600.48
1643797774.0,2582.549
1643797800.0,2571.255
1643797803.0,2559.465
1643797810.0,2516.856
1643797814.0,2557.305
1643797850.0,2583.448
1643797858.0,2567.29
1643797862.0,2573.163
1643797879.0,2566.694
1643797886.0,2549.496
1643797898.0,2548.187
1643797899.0,2528.037
1643797954.0,2530.675
1643797966.0,2573.438
1643797979.0,2560.281
1643797986.0,2548.514
1643797997.0,2537.475
1643798002.0,2518.282
1643798006.0,2538.221
1643798015.0,2562.549
1643798026.0,2543.203
1643798074.0,2556.893
1643798094.0,2521.214
1643798102.0,2522.317
1643798110.0,2545.038
1643798127.0,2529.493
1643798134.0,2529.796
1643798138.0,2539.804
1643798163.0,2542.171
1643798170.0,2526.748
1643798182.0,2540.129
1643798186.0,2491.785
1643798190.0,2551.219
1643798203.0,2546.555
1643798210.0,2531.175
1643798214.0,2527.576
1643798218.0,2512.151
1643798222.0,2508.882
1643798230.0,2486.899
1643798243.0,2542.052
1643798254.0,2520.434
1643798258.0,2502.102
1643798262.0,2521.648
1643798279.0,2527.115
1643798290.0,2511.602
1643798315.0,2506.416
1643798322.0,2512.139
1643798334.0,2534.077
1643798366.0,2495.783
1643798370.0,2515.265
1643798386.0,2496.728
1643798398.0,2524.115
1643798418.0,2496.803
1643798422.0,2481.236
1643798430.0,2518.181
1643798439.0,2505.468
1643798447.0,2486.219
1643798458.0,2469.226
