timestamp,ftr_vector
1644793713.0,1491.214
1644794100.0,1492.618
1644794490.0,1480.696
1644794511.0,1491.201
1644794541.0,1480.685
1644794552.0,1491.235
1644794557.0,1480.731
1644794571.0,1491.306
1644794615.0,1480.783
1644794627.0,1491.287
1644794631.0,1480.755
1644794648.0,1491.335
1644794659.0,1480.826
1644794672.0,1491.369
1644794681.0,1480.83
1644794700.0,1491.374
1644794727.0,1480.865
1644794745.0,1491.435
1644794858.0,1480.918
1644794870.0,1491.496
1644795000.0,1497.395
1644795637.0,1502.158
1644795733.0,1512.715
1644795878.0,1502.203
1644795900.0,1501.735
1644796645.0,1512.715
1644796800.0,1515.512
1644797020.0,1502.192
1644797090.0,1512.716
1644797095.0,1502.205
1644797100.0,1512.75
1644797109.0,1502.237
1644797114.0,1512.792
1644797627.0,1523.296
1644797700.0,1519.094
1644797973.0,1512.794
1644798007.0,1502.289
1644798010.0,1512.819
1644798250.0,1523.324
1644798600.0,1526.46
1644798649.0,1533.825
1644798994.0,1544.339
1644799132.0,1554.882
1644799316.0,1565.452
1644799394.0,1576.041
1644799500.0,1579.86
1644799767.0,1586.629
1644799824.0,1597.328
1644799975.0,1607.897
1644800294.0,1597.339
1644800400.0,1604.271
1644801200.0,1607.897
1644801300.0,1605.901
1644801612.0,1618.572
1644801778.0,1629.195
1644801930.0,1639.766
1644801991.0,1650.282
1644802066.0,1660.907
1644802102.0,1671.427
1644802147.0,1681.985
1644802168.0,1692.495
1644802200.0,1698.525
1644802211.0,1702.996
1644802230.0,1713.506
1644802289.0,1724.327
1644802312.0,1734.891
1644802393.0,1745.635
1644802417.0,1756.174
1644802490.0,1766.777
1644802516.0,1777.285
1644802586.0,1787.805
1644802802.0,1777.262
1644803100.0,1776.049
1644803408.0,1787.783
1644803752.0,1798.334
1644804000.0,1800.902
1644804527.0,1808.855
1644804546.0,1819.368
1644804575.0,1829.891
1644804598.0,1840.475
1644804629.0,1851.071
1644804650.0,1861.578
1644804679.0,1872.119
1644804684.0,1882.636
1644804689.0,1893.165
1644804691.0,1903.692
1644804695.0,1914.277
1644804697.0,1935.627
1644804698.0,1946.249
1644804701.0,1956.753
1644804703.0,1967.401
1644804706.0,1977.932
1644804707.0,1988.557
1644804710.0,1999.143
1644804713.0,2009.655
1644804716.0,2020.222
1644804719.0,2030.898
1644804722.0,2041.535
1644804724.0,2052.093
1644804727.0,2062.611
1644804730.0,2073.232
1644804731.0,2085.859
1644804735.0,2096.458
1644804737.0,2107.027
1644804739.0,2117.704
1644804742.0,2128.339
1644804743.0,2138.897
1644804745.0,2149.417
1644804746.0,2160.039
1644804748.0,2170.557
1644804749.0,2181.116
1644804750.0,2191.62
1644804752.0,2202.129
1644804753.0,2213.462
1644804755.0,2224.169
1644804756.0,2234.686
1644804759.0,2245.532
1644804760.0,2256.059
1644804762.0,2266.86
1644804763.0,2278.644
1644804765.0,2289.286
1644804766.0,2299.788
1644804768.0,2310.635
1644804769.0,2324.042
1644804771.0,2334.717
1644804773.0,2345.353
1644804775.0,2355.913
1644804778.0,2366.429
1644804780.0,2377.051
1644804782.0,2366.278
1644804783.0,2251.989
1644804784.0,2365.443
1644804785.0,2411.397
1644804786.0,2446.741
1644804787.0,2459.955
1644804788.0,2473.931
1644804790.0,2484.598
1644804791.0,2495.101
1644804793.0,2505.948
1644804794.0,2516.85
1644804797.0,2527.649
1644804800.0,2549.706
1644804802.0,2562.989
1644804804.0,2573.667
1644804807.0,2584.205
1644804808.0,2594.887
1644804811.0,2605.473
1644804812.0,2621.523
1644804818.0,2632.077
1644804819.0,2642.602
1644804825.0,2653.217
1644804826.0,2663.755
1644804833.0,2674.413
1644804836.0,2684.971
1644804841.0,2695.523
1644804844.0,2706.06
1644804848.0,2716.582
1644804856.0,2727.226
1644804858.0,2737.729
1644804871.0,2748.286
1644804881.0,2758.846
1644804889.0,2769.413
1644804900.0,2773.433
1644804909.0,2779.998
1644804915.0,2790.679
1644804932.0,2801.264
1644804942.0,2811.901
1644804956.0,2822.487
1644804967.0,2833.07
1644804980.0,2843.683
1644804993.0,2854.481
1644805009.0,2865.001
1644805019.0,2875.559
1644805027.0,2886.06
1644805137.0,2875.484
1644805162.0,2864.979
1644805197.0,2854.397
1644805236.0,2843.886
1644805257.0,2833.313
1644805276.0,2822.742
1644805310.0,2812.184
1644805368.0,2822.782
1644805401.0,2833.519
1644805425.0,2844.028
1644805581.0,2833.372
1644805721.0,2822.82
1644805800.0,2824.051
1644805911.0,2812.184
1644805976.0,2822.782
1644806037.0,2812.184
1644806078.0,2801.598
1644806093.0,2790.915
1644806130.0,2780.379
1644806166.0,2769.697
1644806210.0,2759.111
1644806250.0,2748.529
1644806295.0,2737.913
1644806358.0,2727.116
1644806660.0,2737.643
1644806700.0,2738.731
1644806795.0,2748.286
1644806870.0,2758.838
1644806925.0,2769.413
1644806959.0,2779.998
1644807003.0,2790.679
1644807039.0,2801.219
1644807110.0,2811.901
1644807139.0,2822.487
1644807216.0,2833.07
