time,leak_state,noise_dB,spre_dB
1607835600.0,0,24,12
1607922000.0,1,24,9
1607922000.0,1,24,9
1608008400.0,0,25,15
1608094800.0,0,22,8
1608181200.0,0,23,14
1608267600.0,0,22,16
1608354000.0,1,26,11
1608440400.0,0,21,17
1608699600.0,0,26,15
1608786000.0,0,27,13
1608872400.0,1,26,10
1608958800.0,0,25,13
1609045200.0,0,23,19
1609131600.0,0,23,13
1609218000.0,0,24,13
1609304400.0,0,23,10
1609390800.0,0,26,14
1609477200.0,0,27,15
1609563600.0,0,22,14
1609650000.0,,,
1609736400.0,0,22,16
1609822800.0,0,25,12
1609909200.0,0,21,20
1609995600.0,0,23,15
1610082000.0,0,27,14
1610168400.0,0,27,23
1610254800.0,0,25,14
1610341200.0,1,25,8
1610427600.0,0,26,12
1610514000.0,0,12,27
1610600400.0,0,14,8
1610686800.0,0,13,8
1610773200.0,0,12,8
1610859600.0,0,13,7
1610946000.0,,,
1611032400.0,,,
1611118800.0,0,14,8
1611205200.0,0,14,9
1611291600.0,0,14,8
1611378000.0,0,15,8
1611464400.0,0,13,9
1611550800.0,0,14,7
1611637200.0,0,0,0
1611723600.0,0,13,17
1611810000.0,0,0,0
1611896400.0,0,11,8
1611982800.0,0,14,9
1612069200.0,0,13,8
1612155600.0,0,0,0
1612242000.0,0,13,8
1612328400.0,0,13,8
1612414800.0,0,12,7
1612501200.0,0,12,10
1612587600.0,0,13,9
1612587600.0,0,13,9
1612674000.0,0,12,9
1612760400.0,0,13,11
1612846800.0,0,14,9
1612933200.0,0,9,9
1613019600.0,0,10,5
1613127600.0,0,14,8
1613214000.0,0,15,9
1613300400.0,0,0,0
1613386800.0,0,14,9
1613473200.0,0,11,7
1613559600.0,1,29,11
1613649600.0,0,12,8
