time,value
1607994000.0,19.6
1607994900.0,19.7
1607995800.0,19.7
1607996700.0,19.7
1607997600.0,19.3
1607998500.0,19.3
1607999400.0,19.2
1608000300.0,19.3
1608001200.0,19.2
1608002100.0,19.3
1608003000.0,19.7
1608003900.0,19.7
1608004800.0,19.8
1608005700.0,19.7
1608006600.0,19.6
1608007500.0,19.4
1608008400.0,19.3
1608009300.0,20.5
1608010200.0,20.4
1608011100.0,20.3
1608012000.0,20.2
1608012900.0,19.9
1608013800.0,19.9
1608014700.0,19.7
1608015600.0,19.7
1608016500.0,19.5
1608017400.0,19.3
1608018300.0,19.1
1608019200.0,18.8
1608020100.0,18.9
1608021000.0,18.9
1608021900.0,18.7
1608022800.0,18.7
1608023700.0,18.9
1608024600.0,19
1608025500.0,19.1
1608026400.0,19
1608027300.0,19.2
1608028200.0,19.2
1608029100.0,19
1608030000.0,19.2
1608030900.0,19.1
1608031800.0,19.3
1608032700.0,19.2
1608033600.0,19.1
1608034500.0,19.2
1608035400.0,19.2
1608036300.0,19.4
1608037200.0,19.3
1608038100.0,19.4
1608039000.0,19.4
1608039900.0,19.4
1608040800.0,19.4
1608041700.0,19.7
1608042600.0,19.5
1608043500.0,19.8
1608044400.0,19.7
1608045300.0,19.7
1608046200.0,19.6
1608047100.0,19.5
1608048000.0,19.4
1608048900.0,19.4
1608049800.0,19.5
1608050700.0,19.3
1608051600.0,19.2
1608052500.0,19.1
1608053400.0,19.1
1608054300.0,19.1
1608055200.0,19
1608056100.0,19
1608057000.0,18.7
1608057900.0,18.7
1608058800.0,18.9
1608059700.0,18.9
1608060600.0,18.8
1608061500.0,18.8
1608062400.0,18.7
1608063300.0,19.1
1608064200.0,18.9
1608065100.0,19.4
1608066000.0,19
1608066900.0,19.4
1608067800.0,19.2
1608068700.0,19.4
1608069600.0,19.2
1608070500.0,19.3
1608071400.0,19.6
1608072300.0,19.5
1608073200.0,19.6
1608074100.0,18.7
1608075000.0,19
1608075900.0,19.1
1608076800.0,19.4
1608076800.0,19.4
1608077700.0,19.5
1608078600.0,19.7
1608079500.0,19.7
1608080400.0,19.8
1608081300.0,19.8
1608082200.0,19.8
1608083100.0,19.9
1608084000.0,19.9
1608084900.0,19.9
1608085800.0,19.9
1608086700.0,20
1608087600.0,20
1608088500.0,19.9
1608089400.0,19.9
1608090300.0,20
1608091200.0,19.9
1608092100.0,19.8
1608093000.0,19.7
1608093900.0,19.4
1608094800.0,19.8
1608095700.0,20.7
1608096600.0,20.7
1608097500.0,20.5
1608098400.0,20.4
1608099300.0,20.2
1608100200.0,20.4
1608101100.0,20.2
1608102000.0,20
1608102900.0,19.8
1608103800.0,19.6
1608104700.0,19.4
1608105600.0,19.1
1608106500.0,16.6
1608107400.0,16.2
1608108300.0,16.4
1608109200.0,16.4
1608110100.0,16.4
1608111000.0,16.3
1608111900.0,18.4
1608112800.0,19.8
1608113700.0,19.9
1608114600.0,20
1608115500.0,19.9
1608116400.0,19.9
1608117300.0,20
1608118200.0,20
1608119100.0,20.1
1608120000.0,19.9
1608120900.0,20
1608121800.0,20
1608122700.0,20
1608123600.0,19.8
1608124500.0,20
1608125400.0,19.6
1608126300.0,18.9
1608127200.0,19.4
1608128100.0,20
1608129000.0,19.9
1608129900.0,20.1
1608130800.0,19.9
1608131700.0,19.9
1608132600.0,19.8
1608133500.0,19.8
1608134400.0,19.8
1608135300.0,19.9
1608136200.0,19.7
1608137100.0,19.6
1608138000.0,19.7
1608138900.0,19.6
1608139800.0,19.5
1608140700.0,19.5
1608141600.0,19.6
1608142500.0,19.8
1608143400.0,19.5
1608144300.0,19.4
1608145200.0,19.5
1608146100.0,19.3
1608147000.0,19.2
1608147900.0,19.1
1608148800.0,19.2
1608149700.0,19.3
1608150600.0,19.1
1608151500.0,19.6
1608152400.0,19.4
1608153300.0,20
1608154200.0,19.4
1608155100.0,19.8
1608156000.0,19.7
1608156900.0,19.5
1608157800.0,20
1608158700.0,20.1
1608159600.0,20.1
1608160500.0,19.3
1608161400.0,19.1
1608162300.0,19.3
1608163200.0,19.3
1608164100.0,19.1
1608165000.0,19.6
1608165900.0,19.7
1608166800.0,19.8
1608167700.0,19.8
1608168600.0,19.8
1608169500.0,19.8
1608170400.0,19.8
1608171300.0,19.9
1608172200.0,19.9
1608173100.0,19.8
1608174000.0,19.8
1608174900.0,19.7
1608175800.0,19.7
1608176700.0,19.7
1608177600.0,19.7
1608178500.0,19.6
1608179400.0,19.7
1608180300.0,19.5
1608181200.0,19.4
1608182100.0,20.8
1608183000.0,20.8
1608183900.0,20.7
1608184800.0,20.5
1608185700.0,20.2
1608186600.0,20
1608187500.0,19.8
1608188400.0,19.7
1608189300.0,19.6
1608190200.0,19.4
1608191100.0,19.2
1608192000.0,19.2
1608192900.0,19.4
1608193800.0,19.1
1608194700.0,19
1608195600.0,18.9
1608196500.0,19
1608197400.0,19
1608198300.0,19.2
1608199200.0,19.2
1608200100.0,19.3
1608201000.0,19.2
1608201900.0,19.5
1608202800.0,19.2
1608203700.0,19.3
1608204600.0,19.3
1608205500.0,19.6
1608206400.0,19.8
1608207300.0,19.6
1608208200.0,19.8
1608209100.0,19.8
1608210000.0,19.8
1608210900.0,19.8
1608211800.0,19.8
1608212700.0,19.6
1608213600.0,19.4
1608214500.0,19.7
1608215400.0,19.9
1608216300.0,20
1608217200.0,20.1
1608218100.0,20.1
1608219000.0,19.9
1608219900.0,20
1608220800.0,19.9
1608221700.0,19.8
1608222600.0,19.8
1608223500.0,19.7
1608224400.0,19.7
1608225300.0,19.5
