time,normalized_sal_3p
2021-10-19 00:26:31,142.74686977922286
2021-10-19 00:27:02,142.04817935221945
2021-10-19 00:27:31,142.04817935221945
2021-10-19 00:28:02,141.37108161028976
2021-10-19 00:28:31,141.39262040347063
2021-10-19 00:29:01,141.01000592810823
2021-10-19 00:29:32,140.44435662061903
2021-10-19 00:30:01,140.23809438266835
2021-10-19 00:30:31,139.74572008550848
2021-10-19 00:31:02,139.74572008550848
2021-10-19 00:31:31,139.74572008550848
2021-10-19 00:32:01,139.74572008550848
2021-10-19 00:32:32,139.15224459733773
2021-10-19 00:33:01,139.15224459733773
2021-10-19 00:33:31,138.82303698780245
2021-10-19 00:34:02,125.99843477410204
2021-10-19 00:34:31,125.70844406763081
2021-10-19 00:35:02,125.70844406763081
2021-10-19 00:35:31,125.70844406763081
2021-10-19 00:36:02,125.70844406763081
2021-10-19 00:36:31,125.70844406763081
2021-10-19 00:37:02,125.70844406763081
2021-10-19 00:37:31,125.70844406763081
2021-10-19 00:38:01,125.70844406763081
2021-10-19 00:38:31,125.70844406763081
2021-10-19 00:39:01,125.70844406763081
2021-10-19 00:39:32,126.22144685568944
2021-10-19 00:40:01,126.22144685568944
2021-10-19 00:40:32,126.22144685568944
2021-10-19 00:41:01,126.5422529470269
2021-10-19 00:41:32,126.5422529470269
2021-10-19 00:42:01,126.85019483801543
2021-10-19 00:42:32,126.85019483801543
2021-10-19 00:43:01,126.85019483801543
2021-10-19 00:43:30,126.85019483801543
2021-10-19 00:44:01,128.00273914532144
2021-10-19 00:44:31,128.00273914532144
2021-10-19 00:45:01,128.63544910570167
2021-10-19 00:45:31,128.83985782531428
2021-10-19 00:46:02,128.83985782531428
2021-10-19 00:46:31,128.83985782531428
2021-10-19 00:47:02,128.83985782531428
2021-10-19 00:47:31,128.83985782531428
2021-10-19 00:48:02,130.14553339963805
2021-10-19 00:48:31,130.14553339963805
2021-10-19 00:49:01,130.14553339963805
2021-10-19 00:49:32,130.14553339963805
2021-10-19 00:50:01,130.14553339963805
2021-10-19 00:50:32,130.4216653351377
2021-10-19 00:51:01,130.4216653351377
2021-10-19 00:51:32,130.6709275593889
2021-10-19 00:52:01,130.6709275593889
2021-10-19 00:52:32,130.95742911646258
2021-10-19 00:53:01,131.25413725074594
2021-10-19 00:53:32,131.52169305267964
2021-10-19 00:54:01,132.0312882135229
2021-10-19 00:54:32,132.0312882135229
2021-10-19 00:55:02,132.3640454567688
2021-10-19 00:55:31,133.30270816689222
2021-10-19 00:56:02,133.30270816689222
2021-10-19 00:56:31,133.30270816689222
2021-10-19 00:57:02,133.56442698058143
2021-10-19 00:57:31,133.56442698058143
2021-10-19 00:58:02,133.56442698058143
2021-10-19 00:58:32,133.56442698058143
2021-10-19 00:59:03,134.14698449448096
2021-10-19 00:59:32,134.41136093130942
2021-10-19 01:00:02,134.68103630997996
2021-10-19 01:00:34,134.68103630997996
2021-10-19 01:01:03,134.68103630997996
2021-10-19 01:01:34,134.68103630997996
2021-10-19 01:02:03,135.53957901945122
2021-10-19 01:02:38,136.16516394110837
2021-10-19 01:03:07,136.48522002836972
2021-10-19 01:03:42,137.02535339865977
2021-10-19 01:04:11,137.1424844700243
2021-10-19 01:04:49,137.1424844700243
2021-10-19 01:05:29,137.1424844700243
2021-10-19 01:06:00,137.1424844700243
2021-10-19 01:06:33,137.6455252474198
2021-10-19 01:07:04,137.6455252474198
2021-10-19 01:07:37,137.6455252474198
2021-10-19 01:08:08,137.89079288474395
2021-10-19 01:08:48,137.89079288474395
2021-10-19 01:09:29,138.16723460453588
2021-10-19 01:09:59,138.16723460453588
2021-10-19 01:10:33,138.16723460453588
2021-10-19 01:11:03,138.16723460453588
2021-10-19 01:11:49,138.69880814569646
2021-10-19 01:12:34,138.69880814569646
2021-10-19 01:13:03,138.9921738705102
2021-10-19 01:13:49,138.9921738705102
2021-10-19 01:14:38,139.55503562519363
2021-10-19 01:15:07,139.95509758205208
2021-10-19 01:15:50,140.13407138082275
2021-10-19 01:16:45,140.43223060994896
2021-10-19 01:17:15,140.43223060994896
2021-10-19 01:17:49,141.3443823064256
2021-10-19 01:18:49,142.14465296007043
2021-10-19 01:19:49,142.57217158788907
2021-10-19 01:20:49,143.1461692726591
2021-10-19 01:21:49,143.56053022027294
2021-10-19 01:22:49,143.56053022027294
2021-10-19 01:23:42,143.56053022027294
2021-10-19 01:24:11,144.6492915722368
2021-10-19 01:24:49,145.01883162408492
2021-10-19 01:25:50,145.01883162408492
2021-10-19 01:26:50,145.82797189115158
2021-10-19 01:27:51,146.13180506415796
2021-10-19 01:28:51,146.7004548937766
2021-10-19 01:29:52,147.04995679324344
2021-10-19 01:30:52,147.32352893222247
2021-10-19 01:31:51,147.32352893222247
2021-10-19 01:32:51,147.84885787422758
2021-10-19 01:33:51,148.14294099424453
2021-10-19 01:34:51,148.6661503595128
2021-10-19 01:35:51,148.6661503595128
2021-10-19 01:36:51,148.91860825330573
2021-10-19 01:37:51,149.18979994456492
2021-10-19 01:38:51,149.47217647922
2021-10-19 01:39:51,149.47217647922
