timestamp,test_value
2020-07-02 17:44:05,475.07
2020-07-02 17:43:11,473.01
2020-07-02 17:44:05,475.07
2020-07-02 17:43:11,473.01
2020-07-02 21:28:47,473.33
2020-07-02 17:45:21,473.47
2020-07-02 21:28:47,474.34
2020-07-02 17:44:43,471.93
2020-07-02 17:44:43,473.76
2020-07-02 21:21:08,472.29
2020-07-02 21:28:08,474.85
2020-07-02 21:31:58,474.2
2020-07-02 21:20:29,472.42
2020-07-02 21:24:29,472.88
2020-07-02 21:24:29,475.12
2020-07-02 21:31:18,472.59
2020-07-02 17:42:12,475.68
2020-07-02 17:40:20,474.73
2020-07-02 21:25:38,472.34
2020-07-02 21:31:18,474.73
2020-07-02 17:41:32,475.46
2020-07-02 21:25:38,475.02
2020-07-02 21:30:38,472.27
2020-07-02 17:43:11,475.07
2020-07-02 21:38:23,472.96
2020-07-02 21:34:00,473.37
2020-07-02 09:57:51,473.19
2020-07-02 21:38:23,475.29
2020-07-02 06:43:54,473.65
2020-07-02 09:57:51,474.61
2020-07-02 09:59:08,472.74
2020-07-02 09:59:08,474.37
2020-07-02 06:43:54,474.24
2020-07-02 09:57:01,473.41
2020-07-02 09:59:47,472.43
2020-07-02 09:56:14,472.79
2020-07-02 21:30:38,474.22
2020-07-02 09:56:14,475.05
2020-07-02 17:44:05,473.52
2020-07-02 09:51:56,474.68
2020-07-02 09:57:01,475.24
2020-07-02 06:44:33,475.0
2020-07-02 06:44:33,473.65
2020-07-02 06:42:39,472.67
2020-07-02 21:37:29,475.6
2020-07-02 21:37:29,472.39
2020-07-02 06:39:02,474.46
2020-07-02 21:40:10,473.3
2020-07-02 21:41:54,472.78
2020-07-02 21:40:10,474.54
2020-07-02 06:42:00,474.46
2020-07-02 21:41:54,474.51
2020-07-02 06:46:33,474.37
2020-07-02 06:47:51,474.34
2020-07-02 21:43:31,474.63
2020-07-02 06:49:09,475.05
2020-07-02 06:52:40,473.04
2020-07-02 06:52:40,474.83
2020-07-02 21:39:16,475.26
2020-07-02 09:58:28,472.45
2020-07-02 21:42:48,474.41
2020-07-02 06:50:28,474.24
2020-07-02 06:41:22,472.92
2020-07-02 06:53:17,474.85
2020-07-02 12:35:39,474.78
2020-07-02 21:46:04,473.87
2020-07-02 21:42:48,473.42
2020-07-02 06:39:02,473.88
2020-07-02 06:42:00,473.16
2020-07-02 21:41:15,473.37
2020-07-02 06:46:33,472.57
2020-07-02 06:53:17,473.09
2020-07-02 06:53:56,474.49
2020-07-02 06:45:16,473.33
