timestamp,ftr_vector
1642543219.0,6877.157
1642543932.0,6844.906
1642544100.0,6838.022
1642544233.0,6827.97
1642544590.0,6812.854
1642544864.0,6796.677
1642545000.0,6797.577
1642545900.0,6780.44
1642546800.0,6775.648
1642547132.0,6761.447
1642547236.0,6777.868
1642547392.0,6761.096
1642547404.0,6778.214
1642547700.0,6779.58
1642548196.0,6778.977
1642548207.0,6762.382
1642548468.0,6747.063
1642548500.0,6744.379
1642548507.0,6759.875
1642548528.0,6743.322
1642548600.0,6750.199
1642548728.0,6726.816
1642548772.0,6711.14
1642548800.0,6706.841
1642548836.0,6688.726
1642548948.0,6655.808
1642549005.0,6635.978
1642549072.0,6618.562
1642549500.0,6604.96
1642550076.0,6650.253
1642550250.0,6644.401
1642550254.0,6660.0
1642550282.0,6684.02
1642550286.0,6666.244
1642550318.0,6681.795
1642550400.0,6672.291
1642551300.0,6677.286
1642551776.0,6670.42
1642551780.0,6671.056
1642551790.0,6653.928
1642551798.0,6669.979
1642552200.0,6663.055
1642552602.0,6652.901
1642552959.0,6629.787
1642553100.0,6637.674
1642553544.0,6644.884
1642553548.0,6629.658
1642554000.0,6620.306
1642554114.0,6612.863
1642554125.0,6630.94
1642554133.0,6613.368
1642554900.0,6600.447
1642555120.0,6597.044
1642555612.0,6579.99
1642555800.0,6580.585
1642556354.0,6562.474
1642556386.0,6578.266
1642556422.0,6562.556
1642556457.0,6562.719
1642556700.0,6557.726
1642556872.0,6546.741
1642556892.0,6561.822
1642556927.0,6546.422
1642556984.0,6561.837
1642556995.0,6534.806
1642557031.0,6535.474
1642557048.0,6553.732
1642557056.0,6538.339
1642557063.0,6555.111
1642557067.0,6537.741
1642557095.0,6558.21
1642557127.0,6570.356
1642557139.0,6591.636
1642557156.0,6568.405
1642557175.0,6551.553
1642557260.0,6535.483
1642557299.0,6536.533
1642557371.0,6500.319
1642557443.0,6482.906
1642557447.0,6462.696
1642557479.0,6435.956
1642557492.0,6420.689
1642557511.0,6405.172
1642557543.0,6366.257
1642557560.0,6345.705
1642557575.0,6328.754
1642557600.0,6269.884
1642557611.0,6241.53
1642557639.0,6204.165
1642557664.0,6186.729
1642557760.0,6131.482
1642557859.0,6100.946
1642557940.0,6084.46
1642558001.0,6063.916
1642558500.0,6059.126
1642558533.0,6079.749
1642558590.0,6064.165
1642558605.0,6079.817
1642559132.0,6111.567
1642559279.0,6127.578
1642559400.0,6133.855
1642559497.0,6142.636
1642560141.0,6157.842
1642560216.0,6156.368
1642560300.0,6163.723
1642560486.0,6171.501
1642560958.0,6188.032
1642561200.0,6189.327
1642561645.0,6206.832
1642562100.0,6211.331
1642562225.0,6222.154
1642562745.0,6237.729
1642563000.0,6243.896
1642563225.0,6253.884
1642563858.0,6269.683
1642563900.0,6255.276
1642563901.0,6253.203
1642563922.0,6268.918
1642564800.0,6272.915
1642565700.0,6290.176
1642565743.0,6292.683
1642565909.0,6308.092
1642566600.0,6308.275
1642567500.0,6303.769
1642567561.0,6293.021
1642567653.0,6323.513
1642567753.0,6278.286
1642567782.0,6261.53
1642568159.0,6276.656
1642568400.0,6279.912
1642568693.0,6291.934
1642568956.0,6307.341
1642569105.0,6323.858
1642569189.0,6341.833
1642569300.0,6356.741
1642569303.0,6373.245
1642569346.0,6389.084
1642569423.0,6424.414
1642569459.0,6446.616
1642569535.0,6486.317
1642569567.0,6502.887
1642569695.0,6574.935
1642569715.0,6590.569
1642569758.0,6607.381
1642569781.0,6622.85
1642569829.0,6659.365
1642569862.0,6674.499
1642569894.0,6689.941
1642569929.0,6707.871
1642569969.0,6726.26
1642570001.0,6743.134
1642570041.0,6759.558
1642570053.0,6778.266
1642570089.0,6794.445
1642570129.0,6812.433
1642570200.0,6841.38
1642570221.0,6852.113
1642570317.0,6890.366
1642570345.0,6916.118
1642570434.0,6932.547
1642570441.0,6948.861
1642570541.0,6987.201
1642570653.0,7023.991
1642570701.0,7039.209
1642570758.0,7055.219
1642570805.0,7070.975
1642570857.0,7088.414
1642570914.0,7106.909
1642570946.0,7127.709
1642570993.0,7145.474
1642571046.0,7162.753
1642571097.0,7178.539
1642571145.0,7194.424
1642571185.0,7210.438
1642571281.0,7243.561
1642571377.0,7276.409
1642571426.0,7292.964
1642571465.0,7309.291
1642571557.0,7343.459
1642571586.0,7370.106
1642571679.0,7407.047
1642571747.0,7412.413
1642571771.0,7441.061
1642571831.0,7464.217
1642571835.0,7448.27
1642571843.0,7467.011
1642571871.0,7485.969
1642571887.0,7469.892
1642571907.0,7497.822
1642571951.0,7514.999
1642571987.0,7531.906
1642572000.0,7534.0
1642572031.0,7547.661
1642572063.0,7564.723
1642572109.0,7580.026
1642572141.0,7597.38
1642572194.0,7615.062
1642572229.0,7630.455
1642572265.0,7646.076
1642572369.0,7681.135
1642572417.0,7698.089
1642572481.0,7714.821
1642572529.0,7732.495
1642572645.0,7763.093
1642572677.0,7786.475
1642572784.0,7816.475
1642572848.0,7815.371
1642572900.0,7822.746
1642572912.0,7832.389
1642572973.0,7857.296
1642573057.0,7858.625
1642573097.0,7868.49
1642573125.0,7894.377
1642573129.0,7877.786
1642573153.0,7879.465
1642573161.0,7899.515
1642573165.0,7883.13
1642573176.0,7904.958
1642573289.0,7928.327
1642573313.0,7930.962
1642573317.0,7913.845
1642573336.0,7932.208
1642573413.0,7950.141
1642573453.0,7955.424
1642573609.0,7969.254
1642573641.0,7987.735
1642573705.0,7987.665
1642573717.0,8003.01
1642573728.0,8019.026
1642573773.0,8038.119
1642573785.0,8054.777
1642573797.0,8098.992
1642573817.0,8134.692
1642573831.0,8223.64
1642573847.0,8240.469
1642573871.0,8233.063
1642573875.0,8248.582
1642573907.0,8266.401
1642573911.0,8251.108
1642573915.0,8267.949
1642573954.0,8247.669
1642574042.0,8248.35
1642574050.0,8265.456
1642574127.0,8281.411
1642574182.0,8254.607
1642574262.0,8238.763
1642574278.0,8223.36
1642574326.0,8205.854
1642574359.0,8224.479
1642574402.0,8244.331
1642574434.0,8223.95
1642574442.0,8190.957
1642574499.0,8168.643
1642574506.0,8150.842
1642574514.0,8131.658
1642574562.0,8079.24
1642574598.0,8062.729
1642574630.0,8038.759
1642574634.0,8054.633
1642574683.0,8032.64
1642574694.0,8060.327
1642574700.0,8067.705
1642574706.0,8079.272
1642574730.0,8127.027
1642574742.0,8146.283
1642574762.0,8175.584
1642574766.0,8195.687
1642574770.0,8210.949
1642574795.0,8053.501
1642574866.0,8024.171
1642574910.0,8007.423
1642574987.0,8022.712
1642575023.0,8005.786
1642575059.0,8023.386
1642575261.0,8023.44
1642575268.0,8042.647
1642575364.0,8024.812
1642575392.0,8043.46
1642575596.0,8044.234
1642575617.0,8043.152
1642575624.0,8027.775
1642575628.0,8043.535
1642575674.0,8028.067
1642575695.0,8029.531
1642575738.0,8049.603
1642576500.0,8040.692
1642577018.0,8033.085
1642577022.0,8049.716
1642577141.0,8049.908
1642577288.0,8033.627
1642577301.0,8049.689
1642577305.0,8033.194
1642577309.0,8049.453
1642577365.0,8031.9
1642577369.0,8050.158
1642577400.0,8050.161
1642577501.0,8032.844
1642577505.0,8048.899
1642577926.0,8056.404
1642577994.0,8097.231
1642578002.0,8119.965
1642578006.0,8146.342
1642578010.0,8168.122
1642578034.0,8228.385
1642578070.0,8270.982
1642578098.0,8252.826
1642578134.0,8235.197
1642578166.0,8251.94
1642578174.0,8278.571
1642578190.0,8299.853
1642578202.0,8316.798
1642578210.0,8338.82
1642578226.0,8377.652
1642578238.0,8396.325
1642578278.0,8414.263
1642578300.0,8432.943
1642578334.0,8407.501
1642578342.0,8426.879
1642578370.0,8462.735
1642578402.0,8480.429
1642578490.0,8444.113
1642578506.0,8426.85
1642578554.0,8411.012
1642578590.0,8385.317
1642578614.0,8401.81
1642578742.0,8382.869
1642578774.0,8410.896
1642578887.0,8389.479
1642579200.0,8394.793
1642579297.0,8390.296
1642579340.0,8371.838
1642579368.0,8371.317
1642579375.0,8389.81
1642579443.0,8370.355
1642579447.0,8388.24
1642579503.0,8388.414
1642579507.0,8371.96
1642579511.0,8387.708
1642579695.0,8387.17
1642579875.0,8386.063
1642579883.0,8368.42
1642579887.0,8385.719
1642580017.0,8368.29
1642580025.0,8385.335
1642580057.0,8366.074
1642580100.0,8382.712
1642580157.0,8366.687
1642580161.0,8384.434
1642580168.0,8367.374
1642580256.0,8382.206
1642580277.0,8367.119
1642580296.0,8383.574
1642580313.0,8366.142
1642580341.0,8384.943
1642580401.0,8384.135
1642580405.0,8366.45
1642580456.0,8383.157
1642580465.0,8366.455
1642580509.0,8381.521
1642580512.0,8363.956
1642580524.0,8379.966
1642580541.0,8377.117
1642580545.0,8360.659
1642580560.0,8377.224
1642580569.0,8360.373
1642580577.0,8379.637
1642580584.0,8361.366
1642580617.0,8360.612
1642580624.0,8378.679
1642580641.0,8360.646
1642580677.0,8359.785
1642580692.0,8376.794
1642580713.0,8359.932
1642580724.0,8375.521
1642580752.0,8372.015
1642580777.0,8371.147
1642580784.0,8351.905
1642580805.0,8371.544
1642580816.0,8352.243
1642580841.0,8350.281
1642580848.0,8370.401
1642580901.0,8369.247
1642580905.0,8352.674
1642581000.0,8365.934
1642581129.0,8338.854
1642581140.0,8354.679
1642581350.0,8357.932
1642581354.0,8338.745
1642581410.0,8355.642
1642581414.0,8339.001
1642581526.0,8372.611
1642581558.0,8371.534
1642581601.0,8394.802
1642581605.0,8375.256
1642581890.0,8376.798
1642581894.0,8361.009
1642581900.0,8360.684
1642581926.0,8377.01
1642581934.0,8359.105
1642582070.0,8378.831
1642582102.0,8359.81
1642582110.0,8377.584
1642582114.0,8361.43
1642582158.0,8376.74
1642582175.0,8378.175
1642582190.0,8362.723
1642582222.0,8378.185
1642582226.0,8359.862
1642582230.0,8376.199
1642582247.0,8360.867
1642582294.0,8378.686
1642582302.0,8359.722
1642582370.0,8378.919
1642582387.0,8406.541
1642582394.0,8428.864
1642582427.0,8445.9
1642582502.0,8422.662
1642582531.0,8466.291
1642582535.0,8491.388
1642582538.0,8508.381
1642582567.0,8492.305
1642582582.0,8472.827
1642582603.0,8450.31
1642582755.0,8416.896
1642582800.0,8404.332
1642582810.0,8398.494
1642582842.0,8383.441
1642582884.0,8372.653
1642582983.0,8355.418
1642583150.0,8323.09
1642583263.0,8290.339
1642583314.0,8274.488
1642583382.0,8259.228
1642583424.0,8251.465
1642583700.0,8227.188
1642584017.0,8198.527
1642584021.0,8214.203
1642584103.0,8193.231
1642584110.0,8210.478
1642584146.0,8195.061
1642584150.0,8210.065
1642584600.0,8203.364
1642584703.0,8193.646
1642584710.0,8178.619
1642584714.0,8194.749
1642584767.0,8176.874
1642584770.0,8194.579
1642584858.0,8192.959
1642584990.0,8167.39
1642584994.0,8183.826
1642585044.0,8165.681
1642585055.0,8180.712
1642585068.0,8161.857
1642585072.0,8177.652
1642585084.0,8158.342
1642585087.0,8173.67
1642585136.0,8156.706
1642585148.0,8172.136
1642585168.0,8156.331
1642585356.0,8156.314
1642585415.0,8140.637
1642585436.0,8142.32
1642585440.0,8159.94
1642585444.0,8141.899
1642585451.0,8159.668
1642585500.0,8164.796
1642585519.0,8175.371
1642585536.0,8235.534
1642585551.0,8252.535
1642585572.0,8273.771
1642585587.0,8257.718
1642585644.0,8257.685
1642585672.0,8277.213
1642585740.0,8294.816
1642585747.0,8278.963
1642585751.0,8294.209
1642586400.0,8301.99
1642586407.0,8322.952
1642586415.0,8341.256
1642586428.0,8383.301
1642586483.0,8362.166
1642586511.0,8346.744
1642586547.0,8308.972
1642586603.0,8266.461
1642586626.0,8266.951
1642586628.0,8249.564
1642586636.0,8265.516
1642586728.0,8229.414
1642586736.0,8247.089
1642586747.0,8229.178
1642586811.0,8221.731
1642586840.0,8221.184
1642586847.0,8237.33
1642586868.0,8219.788
1642586872.0,8235.117
1642586892.0,8219.926
1642587088.0,8202.973
1642587092.0,8219.974
1642587180.0,8185.654
1642587184.0,8201.635
1642587291.0,8184.221
1642587300.0,8182.601
1642587316.0,8166.634
1642587781.0,8149.015
1642587830.0,8165.2
1642587869.0,8147.366
1642587884.0,8163.281
1642587948.0,8147.487
1642587955.0,8164.225
1642587972.0,8165.055
1642587987.0,8148.015
1642588019.0,8147.891
1642588040.0,8147.156
1642588055.0,8163.397
1642588087.0,8148.344
1642588108.0,8165.169
